"","Canton_num","Days_Difference","Type_num","Customer_Segment_num","Category_num","Nr_rooms","Package_Product_num","GDP_2020_21","GDP_per","Population","Area_km2","Density","Size_m2","Price_Gross"
"82",1,0,1,1,2,6.5,1,43590,63177,694072,1404,494,222,4500
"83",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,98,700
"84",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,99,845
"85",1,0,1,2,1,4.5,3,43590,63177,694072,1404,494,130,3300
"86",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,100,950
"87",1,14.0416666666667,1,1,1,4.5,1,43590,63177,694072,1404,494,106,2550
"88",1,18,1,2,1,4.5,3,43590,63177,694072,1404,494,150,2300
"89",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,98,900
"90",1,21.0416666666667,1,1,1,3.5,1,43590,63177,694072,1404,494,95,1800
"91",1,0,1,2,1,3.5,4,43590,63177,694072,1404,494,65,1530
"92",1,6,1,1,1,3.5,1,43590,63177,694072,1404,494,79,1440
"93",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,100,980
"94",1,30.0416666666667,1,1,1,3,1,43590,63177,694072,1404,494,65,1200
"95",1,40,1,2,1,4.5,4,43590,63177,694072,1404,494,120,700
"96",1,145.041666666667,1,2,1,4.5,2,43590,63177,694072,1404,494,110,2140
"97",1,0,1,1,1,4.5,1,43590,63177,694072,1404,494,1100,1000
"98",1,12,1,1,1,3.5,1,43590,63177,694072,1404,494,117,2190
"99",1,20.9583333333333,1,2,1,1.5,3,43590,63177,694072,1404,494,28,890
"100",1,0,1,1,1,4.5,1,43590,63177,694072,1404,494,120,1000
"101",1,0,1,1,1,2.5,1,43590,63177,694072,1404,494,67,750
"102",1,2,1,1,1,3.5,1,43590,63177,694072,1404,494,112,900
"103",1,43,1,2,1,3,4,43590,63177,694072,1404,494,57,1350
"104",1,0,1,1,1,4.5,1,43590,63177,694072,1404,494,126,1100
"105",1,0,1,1,1,2.5,1,43590,63177,694072,1404,494,70,700
"106",1,0,1,1,1,4.5,1,43590,63177,694072,1404,494,128,1000
"107",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,99,930
"108",1,0,1,1,1,4.5,1,43590,63177,694072,1404,494,122,1100
"109",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,98,715
"110",1,34.9583333333333,1,2,1,2.5,2,43590,63177,694072,1404,494,64,1520
"111",1,14,1,2,2,6.5,4,43590,63177,694072,1404,494,135,3500
"112",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,98,915
"113",1,0,1,1,1,1.5,1,43590,63177,694072,1404,494,47,650
"114",1,0,1,1,1,2.5,1,43590,63177,694072,1404,494,65,700
"115",1,0,1,2,1,4.5,2,43590,63177,694072,1404,494,115,2675
"116",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,104,1860
"117",1,0,1,1,1,4.5,1,43590,63177,694072,1404,494,102,1705
"118",1,24,1,2,1,3,2,43590,63177,694072,1404,494,67,1475
"119",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,98,1050
"120",1,44,1,2,1,3.5,2,43590,63177,694072,1404,494,80,1690
"121",1,0,1,1,1,1.5,1,43590,63177,694072,1404,494,45,500
"122",1,26,1,2,1,4,4,43590,63177,694072,1404,494,70,1330
"123",1,0,1,1,1,2.5,1,43590,63177,694072,1404,494,50,1160
"124",1,16,1,2,1,4.5,4,43590,63177,694072,1404,494,100,1750
"125",1,2,1,1,1,4.5,1,43590,63177,694072,1404,494,116,1000
"126",1,0,1,1,1,1.5,1,43590,63177,694072,1404,494,45,500
"127",1,39,1,1,1,4.5,1,43590,63177,694072,1404,494,95,1762
"128",1,19,1,2,1,3,2,43590,63177,694072,1404,494,76,1680
"129",1,4,1,2,1,3.5,3,43590,63177,694072,1404,494,71,1480
"130",1,63,1,2,1,3.5,3,43590,63177,694072,1404,494,108,1850
"131",1,0,1,1,1,3.5,1,43590,63177,694072,1404,494,97,700
"132",1,72,1,2,1,4.5,2,43590,63177,694072,1404,494,140,4850
"133",1,23.9583333333333,1,2,2,5.5,2,43590,63177,694072,1404,494,173,3400
"134",1,1,1,2,1,2,3,43590,63177,694072,1404,494,31,880
"135",1,0,1,2,1,2.5,3,43590,63177,694072,1404,494,62,1480
"136",1,23,1,2,1,2,4,43590,63177,694072,1404,494,49,1106
"137",1,12,1,1,1,2.5,1,43590,63177,694072,1404,494,50,1150
"138",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,98,870
"139",2,99,1,1,1,3.5,1,28176,67936,416347,1494,279,86,1670
"140",2,9,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"141",2,9,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"142",2,48,1,1,1,4.5,1,28176,67936,416347,1494,279,109,2020
"143",2,134.041666666667,1,1,1,3.5,1,28176,67936,416347,1494,279,100,1520
"144",2,9,1,1,1,3.5,1,28176,67936,416347,1494,279,77,1220
"145",2,0,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"146",2,156.041666666667,1,1,1,3.5,1,28176,67936,416347,1494,279,85,1470
"147",2,6,1,1,1,3,1,28176,67936,416347,1494,279,68,1780
"148",2,21,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"149",2,0,1,1,1,4.5,1,28176,67936,416347,1494,279,127,1100
"150",2,156.041666666667,1,1,1,3.5,1,28176,67936,416347,1494,279,99,1570
"151",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,62,650
"152",2,14,1,1,1,2.5,1,28176,67936,416347,1494,279,66,2450
"153",2,28,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"154",2,0,1,1,1,4,1,28176,67936,416347,1494,279,65,1590
"155",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,85,1470
"156",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,100,1720
"157",2,7,1,1,1,3,1,28176,67936,416347,1494,279,72,1350
"158",2,5.95833333333333,1,1,1,4,1,28176,67936,416347,1494,279,83,1565
"159",2,100,1,1,1,4.5,1,28176,67936,416347,1494,279,95,1320
"160",2,3,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"161",2,5,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"162",2,28,1,1,1,2.5,1,28176,67936,416347,1494,279,69,1350
"163",2,7,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"164",2,5,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"165",2,23,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"166",2,14,1,1,2,6.5,1,28176,67936,416347,1494,279,125,2500
"167",2,8,1,1,1,3.5,1,28176,67936,416347,1494,279,102,2200
"168",2,22,1,1,1,3,1,28176,67936,416347,1494,279,72,1350
"169",2,36,1,1,1,4,1,28176,67936,416347,1494,279,80,2340
"170",2,24,1,2,1,3.5,4,28176,67936,416347,1494,279,120,2500
