PROPERTY_ID;FIRST_DAY_ONLINE;LAST_DAY_ONLINE;OFFER_TYPE;CUSTOMER_ID;CUSTOMER_SEGMENT;CATEGORY;PRICE_GROSS;SIZE_M2;GEO_CANTON;NUMBER_OF_ROOMS;PACKAGE_ID;PACKAGE_PRODUCT;;;;;;;;;;;;;;
9b7.fdmie;2022-08-27;2022-08-27;RENT;439242;professional;APPT;600;65;LU;2,5;22;subscription;;;;;;;;;;;;;;
9bk.q88sr;2022-04-27;2022-05-23;BUY;594;professional;HOUSE;1070000;160;AR;6,5;16;subscription;;;;;;;;;;;;;;
9bm.94un8;2022-05-13;2022-11-23;RENT;290536;professional;APPT;2600;176;TI;4,5;25;subscription;;;;;;;;;;;;;;
9bs.dhtyp;2022-08-27;2022-08-27;RENT;439242;professional;APPT;900;112;GE;3,5;22;subscription;;;;;;;;;;;;;;
9c9.gcry1;2022-11-25;2022-11-25;RENT;449218;professional;INDUS;;210;VD;;11;subscription;;;;;;;;;;;;;;
9cg.ek21q;2022-04-05;2022-05-16;RENT;288762;private;APPT;1690;74;ZH;3;32;middle;;;;;;;;;;;;;;
9ck.hn7xe;2022-12-21;2023-01-04;RENT;483543;private;APPT;1400;75;BE;4,5;31;basic;;;;;;;;;;;;;;
9cx.vq3gx;2022-07-13;2022-08-04;RENT;83612;professional;APPT;1690;73;SO;3,5;21;subscription;;;;;;;;;;;;;;
9d2.a6njm;2022-10-08;2022-10-08;RENT;483334;professional;APPT;850;99;TI;3,5;17;subscription;;;;;;;;;;;;;;
9dh.aldpw;2022-09-13;2022-09-13;BUY;79920;professional;APPT;4500000;157;ZH;4,5;18;subscription;;;;;;;;;;;;;;
9dl.r6lym;2022-11-08;2022-12-04;RENT;447319;professional;APPT;2280;146;BE;5,5;4;subscription;;;;;;;;;;;;;;
9eh.ir6yk;2022-12-11;2022-12-21;BUY;447930;professional;HOUSE;720000;50;SG;3;7;subscription;;;;;;;;;;;;;;
9ez.1xljp;2022-04-12;2022-05-03;RENT;397118;professional;APPT;3100;120;TI;4,5;27;subscription;;;;;;;;;;;;;;
9fd.rl3u4;2022-05-25;2022-11-09;RENT;298556;professional;SECONDARY;450;;BL;1;2;subscription;;;;;;;;;;;;;;
9fh.7nxeh;2022-11-01;2022-11-15;RENT;399101;professional;INDUS;600;23;BL;1;3;subscription;;;;;;;;;;;;;;
9fl.xdtp0;2022-08-27;2022-08-27;RENT;439242;professional;APPT;700;112;BL;3,5;22;subscription;;;;;;;;;;;;;;
9g7.yk3nk;2022-07-13;2022-08-04;RENT;83612;professional;APPT;1790;73;SO;3;21;subscription;;;;;;;;;;;;;;
9gd.0v8dc;2022-06-13;2022-07-29;RENT;516;professional;APPT;2350;;ZH;3,5;13;subscription;;;;;;;;;;;;;;
9gq.5hi3j;2023-01-28;2023-01-28;RENT;399101;professional;APPT;1000;98;ZG;3,5;3;subscription;;;;;;;;;;;;;;
9gu.03ynu;2021-08-16;2021-08-16;RENT;392231;professional;APPT;700;112;TG;3,5;19;subscription;;;;;;;;;;;;;;
9h5.5z82f;2022-06-28;2022-07-20;RENT;449218;professional;APPT;1150;52;VD;2,5;11;subscription;;;;;;;;;;;;;;
9hb.ar1zz;2022-10-08;2022-10-08;RENT;483334;professional;APPT;1000;119;ZH;4,5;17;subscription;;;;;;;;;;;;;;
9hr.o07wn;2021-07-13;2021-08-02;BUY;296886;professional;HOUSE;1000000;143;ZH;4,5;28;subscription;;;;;;;;;;;;;;
9hs.duvxn;2021-05-20;2021-06-08;RENT;386628;private;APPT;1020;85;TG;3,5;33;premium;;;;;;;;;;;;;;
9hy.5hg3r;2021-08-16;2021-08-16;RENT;392231;professional;APPT;1290;68;SH;2,5;19;subscription;;;;;;;;;;;;;;
9i6.pch48;2022-11-18;2022-12-16;RENT;594;professional;APPT;1980;;TG;4,5;16;subscription;;;;;;;;;;;;;;
9i8.ird0i;2022-11-21;2022-11-21;RENT;358;professional;APPT;1990;;ZH;2,5;7;subscription;;;;;;;;;;;;;;
9ik.r3m3l;2022-08-12;2022-09-23;RENT;415887;professional;APPT;1600;66;BL;3;10;subscription;;;;;;;;;;;;;;
9jn.fp0ut;2021-08-28;2021-11-24;RENT;450398;private;APPT;2190;140;ZH;5;32;middle;;;;;;;;;;;;;;
9jy.umegy;2022-06-25;2022-11-23;BUY;206711;professional;APPT;315000;54;VS;2,5;8;subscription;;;;;;;;;;;;;;
9k1.4hviy;2021-11-29;2021-12-09;RENT;330897;private;APPT;1620;80;ZH;3;33;premium;;;;;;;;;;;;;;
9lf.shga1;2022-11-05;2022-11-05;RENT;600;professional;APPT;700;70;VD;2,5;18;subscription;;;;;;;;;;;;;;
9lr.v0r89;2021-07-01;2021-08-28;RENT;485344;private;APPT;1700;103;AG;4,5;33;premium;;;;;;;;;;;;;;
9lu.kloke;2022-05-20;2022-05-20;RENT;79924;professional;INDUS;;38000;SZ;;19;subscription;;;;;;;;;;;;;;
9lu.p64iz;2021-06-02;2021-06-22;RENT;435799;private;APPT;900;28;AG;1,5;32;middle;;;;;;;;;;;;;;
9lz.9i5ig;2022-04-20;2022-05-06;RENT;116412;professional;APPT;1695;68;ZH;3,5;29;subscription;;;;;;;;;;;;;;
9mg.23yfb;2021-05-17;2021-05-27;RENT;483543;private;APPT;680;28;BE;1;32;middle;;;;;;;;;;;;;;
9mn.yuqaz;2022-11-05;2022-11-05;RENT;600;professional;APPT;900;100;FR;3,5;18;subscription;;;;;;;;;;;;;;
9mu.dhuiz;2022-02-08;2022-07-20;RENT;447897;private;APPT;1800;37;ZH;2;31;basic;;;;;;;;;;;;;;
9mu.zv0sc;2022-09-22;2022-09-28;BUY;447930;professional;HOUSE;;468;SG;5;7;subscription;;;;;;;;;;;;;;
9mw.071ox;2022-08-18;2022-08-25;RENT;116412;professional;APPT;1430;69;ZH;3;29;subscription;;;;;;;;;;;;;;
9mz.smoz1;2022-12-20;2022-12-20;BUY;438814;professional;APPT;;;SG;3,5;21;subscription;;;;;;;;;;;;;;
9ni.jnqnx;2022-10-17;2022-10-17;BUY;290536;professional;APPT;850000;130;TI;4,5;25;subscription;;;;;;;;;;;;;;
9oy.m1dbk;2021-04-20;2021-04-26;RENT;487760;private;PARK;80;;ZH;;33;premium;;;;;;;;;;;;;;
9pj.bgmh1;2022-05-31;2023-01-20;RENT;516;professional;APPT;3410;81;ZH;2,5;13;subscription;;;;;;;;;;;;;;
9pj.r1wnc;2021-04-24;2021-04-26;RENT;489052;private;APPT;3535;131;ZH;3,5;33;premium;;;;;;;;;;;;;;
9px.d422p;2022-11-24;2022-11-24;BUY;398556;professional;APPT;640000;45;ZH;1,5;1;subscription;;;;;;;;;;;;;;
9qg.gkpcd;2022-08-05;2022-09-12;BUY;79920;professional;HOUSE;1880000;276;ZH;;18;subscription;;;;;;;;;;;;;;
9qt.i798i;2022-09-07;2022-12-12;BUY;594;professional;HOUSE;2100000;2074;ZH;7,5;16;subscription;;;;;;;;;;;;;;
9re.tetgz;2022-10-08;2022-10-08;RENT;483334;professional;APPT;980;118;ZH;4,5;17;subscription;;;;;;;;;;;;;;
9sp.3mep7;2022-04-05;2022-04-07;RENT;207009;professional;APPT;900;;ZH;2;9;subscription;;;;;;;;;;;;;;
9t0.t7c7d;2022-11-24;2022-12-11;BUY;447930;professional;APPT;840000;;SG;6;7;subscription;;;;;;;;;;;;;;
9u6.76e1k;2022-08-13;2022-08-13;RENT;516;professional;APPT;900;44;ZH;1,5;13;subscription;;;;;;;;;;;;;;
9uo.q5pyl;2021-06-04;2021-06-24;BUY;487049;private;HOUSE;;526;BS;;32;middle;;;;;;;;;;;;;;
9ut.qlr4p;2022-10-13;2022-11-17;RENT;64733;professional;INDUS;200;22;VD;1;13;subscription;;;;;;;;;;;;;;
9ux.kedlp;2022-10-08;2022-10-08;RENT;483334;professional;APPT;820;117;ZG;4,5;17;subscription;;;;;;;;;;;;;;
9vq.zmfw5;2022-08-22;2022-08-22;RENT;54907;professional;INDUS;4833;290;LU;;9;subscription;;;;;;;;;;;;;;
9vt.2i6tc;2022-10-08;2022-10-08;RENT;483334;professional;APPT;820;120;FR;4,5;17;subscription;;;;;;;;;;;;;;
9vx.ls7mp;2022-09-22;2022-09-28;BUY;447930;professional;APPT;;94;SG;4,5;7;subscription;;;;;;;;;;;;;;
9vy.7d5bl;2022-08-13;2022-08-13;RENT;516;professional;APPT;700;98;BE;3,5;13;subscription;;;;;;;;;;;;;;
9w2.pn1mc;2022-08-27;2022-08-27;RENT;439242;professional;APPT;700;111;BL;3,5;22;subscription;;;;;;;;;;;;;;
9w2.xv9z8;2022-11-18;2022-11-18;BUY;449218;professional;HOUSE;1390000;134;VD;6,5;11;subscription;;;;;;;;;;;;;;
9wb.kqt2m;2023-01-10;2023-01-10;RENT;206711;professional;APPT;2750;116;VS;4,5;8;subscription;;;;;;;;;;;;;;
9wm.vjopa;2022-08-18;2022-08-25;BUY;447930;professional;APPT;940000;;SG;6;7;subscription;;;;;;;;;;;;;;
9x0.yrr0f;2022-12-13;2023-01-27;RENT;572;professional;PARK;175;;ZH;;15;subscription;;;;;;;;;;;;;;
9x5.oubim;2022-09-05;2022-10-17;RENT;487908;private;APPT;1780;67;ZH;3;31;basic;;;;;;;;;;;;;;
9xh.7w03x;2022-10-08;2022-10-08;RENT;483334;professional;APPT;910;99;ZH;3,5;17;subscription;;;;;;;;;;;;;;
9yh.0cryu;2022-06-20;2022-07-12;RENT;488437;private;APPT;2200;105;ZH;3,5;31;basic;;;;;;;;;;;;;;
9yi.5kos8;2022-07-01;2022-09-19;BUY;444966;professional;HOUSE;1170000;181;AG;7,5;3;subscription;;;;;;;;;;;;;;
9yz.nct9r;2022-12-21;2023-01-09;RENT;447930;professional;INDUS;2000;;AG;;7;subscription;;;;;;;;;;;;;;
9z3.4qmlp;2022-08-13;2022-08-13;RENT;516;professional;APPT;700;97;BL;3,5;13;subscription;;;;;;;;;;;;;;
9za.nyghk;2022-12-23;2022-12-23;RENT;295699;professional;APPT;1700;80;ZH;4;27;subscription;;;;;;;;;;;;;;
9zb.saxj9;2022-08-27;2022-08-27;RENT;439242;professional;APPT;800;115;SZ;4,5;22;subscription;;;;;;;;;;;;;;
9zh.owpvn;2022-11-01;2022-11-02;RENT;447942;private;APPT;3411;100;ZH;4,5;31;basic;;;;;;;;;;;;;;
9zm.s1gvc;2023-01-26;2023-01-26;RENT;447319;professional;APPT;1320;59;LU;3;4;subscription;;;;;;;;;;;;;;
9zy.nkddc;2023-01-25;2023-01-25;RENT;719;professional;APPT;960;32;LU;1,5;21;subscription;;;;;;;;;;;;;;
a00.rdyok;2022-08-05;2022-08-29;BUY;206711;professional;APPT;282000;79;VS;3,5;8;subscription;;;;;;;;;;;;;;
a0h.tev0u;2022-08-16;2022-09-01;BUY;110013;professional;HOUSE;1190000;252;BE;6,5;24;subscription;;;;;;;;;;;;;;
a0j.bctmk;2022-03-31;2022-04-01;RENT;613;professional;APPT;1490;74;SO;3,5;19;subscription;;;;;;;;;;;;;;
a0s.s5ppu;2022-06-03;2022-08-18;BUY;124;professional;APPT;1480000;118;BS;4,5;4;subscription;;;;;;;;;;;;;;
a1g.5e2tl;2022-10-05;2022-11-18;RENT;572;professional;PARK;100;;ZH;;15;subscription;;;;;;;;;;;;;;
a1h.ryf52;2023-01-12;2023-01-12;RENT;395655;professional;APPT;3090;85;VD;5,5;26;subscription;;;;;;;;;;;;;;
a1i.z95xc;2022-08-27;2022-08-27;RENT;439242;professional;APPT;800;112;GR;3,5;22;subscription;;;;;;;;;;;;;;
a1j.0g4ez;2022-02-11;2022-04-09;RENT;388448;private;APPT;1630;75;SO;3,5;31;basic;;;;;;;;;;;;;;
a1u.rkxst;2022-06-30;2022-07-28;RENT;487908;professional;APPT;1860;95;AG;4,5;20;subscription;;;;;;;;;;;;;;
a1z.se390;2022-07-15;2022-09-12;RENT;64733;professional;HOUSE;1950;120;FR;4,5;13;subscription;;;;;;;;;;;;;;
a20.7xw5z;2022-10-08;2022-10-08;RENT;483334;professional;APPT;720;67;ZH;2,5;17;subscription;;;;;;;;;;;;;;
a22.g4ax5;2022-12-08;2022-12-18;RENT;414988;professional;APPT;3100;108;ZH;4,5;7;subscription;;;;;;;;;;;;;;
a2a.1unrs;2022-09-05;2022-09-27;BUY;28319;professional;HOUSE;2200000;162;GR;5,5;7;subscription;;;;;;;;;;;;;;
a34.onc7d;2022-08-27;2022-08-27;RENT;439242;professional;APPT;900;112;VD;3,5;22;subscription;;;;;;;;;;;;;;
a3w.8ctu9;2022-08-02;2022-09-28;BUY;28319;professional;APPT;435000;42;GR;2;7;subscription;;;;;;;;;;;;;;
a4w.rw0z5;2022-07-01;2022-07-18;RENT;449218;professional;APPT;730;38;VD;1,5;11;subscription;;;;;;;;;;;;;;
a5l.bio5h;2022-08-13;2022-08-13;RENT;516;professional;APPT;850;44;ZH;1,5;13;subscription;;;;;;;;;;;;;;
a5l.sfh4h;2022-09-27;2022-10-04;RENT;13033;professional;PARK;110;;GL;;28;subscription;;;;;;;;;;;;;;
a5q.i78et;2023-01-28;2023-01-28;RENT;399101;professional;APPT;1200;124;GR;4,5;3;subscription;;;;;;;;;;;;;;
a5w.tq6hs;2022-09-01;2022-09-20;BUY;399101;professional;HOUSE;1590000;178;BL;7,5;3;subscription;;;;;;;;;;;;;;
a5z.psopx;2022-10-20;2022-10-20;BUY;483334;professional;APPT;550000;92;VS;3,5;17;subscription;;;;;;;;;;;;;;
a68.7645s;2021-08-16;2021-08-16;RENT;392231;professional;APPT;900;113;AG;3,5;19;subscription;;;;;;;;;;;;;;
a6a.2uqo6;2022-02-07;2022-03-02;RENT;389973;professional;APPT;1990;80;BS;3,5;15;subscription;;;;;;;;;;;;;;
a6c.9bbth;2022-10-08;2022-10-08;RENT;483334;professional;APPT;900;118;SZ;4,5;17;subscription;;;;;;;;;;;;;;
a6j.gg9ub;2022-09-08;2022-09-22;BUY;447930;professional;APPT;1050000;100;SG;4,5;7;subscription;;;;;;;;;;;;;;
a6k.mpl0s;2021-07-09;2021-08-01;RENT;434013;private;APPT;1390;120;BE;5,5;31;basic;;;;;;;;;;;;;;
a6u.pplag;2022-10-27;2022-11-17;RENT;13023;professional;APPT;1600;55;ZH;3,5;25;subscription;;;;;;;;;;;;;;
a73.wffij;2022-11-05;2022-11-05;RENT;600;professional;APPT;750;65;VD;2,5;18;subscription;;;;;;;;;;;;;;
a77.3qrv4;2021-06-17;2021-06-20;RENT;387670;private;APPT;1400;;ZH;2,5;31;basic;;;;;;;;;;;;;;
a78.8bo61;2022-07-14;2022-08-08;RENT;386619;professional;APPT;1020;;SG;2;9;subscription;;;;;;;;;;;;;;
a78.n6a43;2023-01-28;2023-01-28;RENT;399101;professional;APPT;1100;125;GR;4,5;3;subscription;;;;;;;;;;;;;;
a7w.exbbs;2021-08-03;2021-10-28;RENT;483543;private;APPT;1200;64;BE;3,5;32;middle;;;;;;;;;;;;;;
a8k.4syfx;2022-06-09;2022-07-04;RENT;447319;professional;APPT;1175;59;SG;2,5;4;subscription;;;;;;;;;;;;;;
a99.cfyg9;2022-11-29;2022-12-05;RENT;389922;private;APPT;1070;55;SG;2;33;premium;;;;;;;;;;;;;;
a9m.ceoik;2022-10-11;2022-10-31;BUY;79920;professional;PROP;5500000;1823;LU;;18;subscription;;;;;;;;;;;;;;
a9x.nghvq;2022-10-26;2022-10-26;RENT;488687;professional;PARK;130;;LU;;23;subscription;;;;;;;;;;;;;;
aa0.csxnt;2022-06-23;2022-07-27;BUY;79920;professional;APPT;;162;ZH;5,5;18;subscription;;;;;;;;;;;;;;
aab.xbgqw;2022-06-23;2022-09-13;BUY;206711;professional;APPT;790000;110;VS;3,5;8;subscription;;;;;;;;;;;;;;
aau.h9bdi;2023-01-27;2023-01-27;RENT;488687;professional;PARK;100;;LU;;23;subscription;;;;;;;;;;;;;;
aaw.e6dw2;2022-12-21;2022-12-21;RENT;119009;professional;APPT;950;;SG;1,5;30;subscription;;;;;;;;;;;;;;
aaw.k1c0j;2021-11-29;2021-12-02;RENT;388448;private;APPT;1120;36;SO;2;33;premium;;;;;;;;;;;;;;
aax.iqjr3;2022-09-28;2022-09-29;BUY;206711;professional;HOUSE;1500000;210;VS;4,5;8;subscription;;;;;;;;;;;;;;
aba.gghax;2022-03-31;2022-04-01;RENT;613;professional;APPT;1550;71;SO;3,5;19;subscription;;;;;;;;;;;;;;
abk.9d53z;2022-09-08;2022-09-12;RENT;289521;professional;APPT;1150;37;ZH;1,5;23;subscription;;;;;;;;;;;;;;
abz.ixhvi;2022-07-26;2022-07-26;RENT;102;professional;INDUS;4700;250;ZH;;2;subscription;;;;;;;;;;;;;;
aca.rb4tg;2022-12-07;2022-12-07;RENT;54907;professional;APPT;1500;39;LU;2;9;subscription;;;;;;;;;;;;;;
acb.hhj5m;2023-01-01;2023-01-01;RENT;447319;professional;INDUS;900;;SG;;4;subscription;;;;;;;;;;;;;;
acj.utg3x;2022-12-20;2023-01-03;RENT;516;professional;APPT;1425;76;ZH;3;13;subscription;;;;;;;;;;;;;;
acl.qa8d0;2022-11-05;2022-11-05;RENT;600;professional;APPT;750;75;GR;2,5;18;subscription;;;;;;;;;;;;;;
acp.29d7y;2022-11-05;2022-11-05;RENT;600;professional;APPT;980;100;VD;3,5;18;subscription;;;;;;;;;;;;;;
ad5.3u11g;2022-08-13;2022-08-13;RENT;516;professional;APPT;800;98;ZH;3,5;13;subscription;;;;;;;;;;;;;;
adg.0u9kl;2022-08-13;2022-08-13;RENT;516;professional;APPT;900;97;VD;3,5;13;subscription;;;;;;;;;;;;;;
ae9.3ju53;2022-10-20;2022-10-20;BUY;483334;professional;APPT;525000;86;VS;3,5;17;subscription;;;;;;;;;;;;;;
aes.wqh0y;2022-09-22;2022-09-22;RENT;447897;private;APPT;1300;;ZH;2;31;basic;;;;;;;;;;;;;;
ag8.sfvsm;2022-08-27;2022-08-27;RENT;439242;professional;APPT;650;65;SH;2,5;22;subscription;;;;;;;;;;;;;;
agu.egmsa;2022-08-27;2022-08-27;RENT;439242;professional;APPT;900;112;BE;3,5;22;subscription;;;;;;;;;;;;;;
ahq.sa93g;2022-08-13;2022-08-13;RENT;516;professional;APPT;900;66;ZH;2,5;13;subscription;;;;;;;;;;;;;;
ai8.k6hyi;2022-11-07;2022-11-07;RENT;66113;professional;APPT;1980;77;VD;3,5;14;subscription;;;;;;;;;;;;;;
aip.z0f0h;2022-08-27;2022-08-27;RENT;439242;professional;APPT;700;117;ZG;4,5;22;subscription;;;;;;;;;;;;;;
aiq.tyil2;2022-09-17;2022-09-30;RENT;484046;private;APPT;3250;65;VD;2,5;32;middle;;;;;;;;;;;;;;
aj2.zechu;2021-05-11;2021-05-28;RENT;438377;professional;APPT;1995;70;ZH;3,5;20;subscription;;;;;;;;;;;;;;
ajj.ywugf;2021-12-07;2022-04-27;RENT;413837;private;APPT;2200;105;TI;3,5;32;middle;;;;;;;;;;;;;;
ajl.13rh0;2022-04-01;2022-04-01;BUY;290536;professional;APPT;490000;65;GR;2,5;25;subscription;;;;;;;;;;;;;;
ajs.c1gp3;2021-11-10;2022-03-15;BUY;434890;private;APPT;1750000;155;ZH;4,5;32;middle;;;;;;;;;;;;;;
ajy.v3hth;2021-07-01;2021-11-23;RENT;435799;private;APPT;2140;110;AG;4,5;32;middle;;;;;;;;;;;;;;
aku.ij8lq;2022-08-29;2022-11-03;RENT;119012;professional;INDUS;;1690;SG;;1;subscription;;;;;;;;;;;;;;
akx.p0u2z;2022-08-27;2022-08-27;RENT;439242;professional;APPT;750;100;ZG;3,5;22;subscription;;;;;;;;;;;;;;
al9.z9x02;2022-09-13;2022-09-22;BUY;447930;professional;APPT;875000;;SG;3,5;7;subscription;;;;;;;;;;;;;;
alh.ri7la;2022-05-20;2022-07-11;BUY;443045;professional;PROP;1200000;662;ZH;;26;subscription;;;;;;;;;;;;;;
amc.puhkl;2022-11-05;2022-11-05;RENT;600;professional;APPT;900;122;SG;4,5;18;subscription;;;;;;;;;;;;;;
amg.kibuf;2021-09-21;2022-06-27;RENT;285170;private;APPT;1560;54;ZH;2,5;31;basic;;;;;;;;;;;;;;
amn.hroi2;2022-08-23;2023-01-26;RENT;488687;professional;APPT;1720;100;LU;3,5;23;subscription;;;;;;;;;;;;;;
anh.u9xbd;2022-08-27;2022-08-29;RENT;439242;professional;APPT;700;112;AG;3,5;22;subscription;;;;;;;;;;;;;;
ant.39jmg;2021-06-28;2021-08-06;RENT;441232;professional;APPT;2020;109;LU;4,5;24;subscription;;;;;;;;;;;;;;
any.f4x8e;2022-09-02;2022-12-09;RENT;594;professional;APPT;1250;;SH;4,5;16;subscription;;;;;;;;;;;;;;
ao2.4ftl6;2022-04-05;2022-04-12;BUY;447930;professional;APPT;1350000;133;SG;4,5;7;subscription;;;;;;;;;;;;;;
ao8.31qdt;2022-07-12;2022-07-29;BUY;82311;professional;APPT;863000;122;TG;4,5;20;subscription;;;;;;;;;;;;;;
apc.mrirp;2022-08-13;2022-08-13;RENT;516;professional;APPT;1050;67;ZH;2,5;13;subscription;;;;;;;;;;;;;;
apj.4lwpr;2022-06-24;2022-07-13;BUY;719;professional;APPT;;100;LU;4,5;21;subscription;;;;;;;;;;;;;;
aq4.yrn60;2022-05-12;2022-05-12;BUY;397118;professional;HOUSE;1050000;154;TI;4,5;27;subscription;;;;;;;;;;;;;;
aqd.r8rq1;2022-07-22;2022-07-28;RENT;116412;professional;APPT;1550;57;ZH;2,5;29;subscription;;;;;;;;;;;;;;
aqt.iugl9;2021-06-21;2021-06-22;RENT;390679;private;APPT;3000;165;ZH;4;33;premium;;;;;;;;;;;;;;
ar7.0c3lx;2022-08-13;2022-08-13;RENT;516;professional;APPT;700;66;BS;2,5;13;subscription;;;;;;;;;;;;;;
ar8.xa2v4;2022-08-27;2022-08-27;RENT;439242;professional;APPT;;112;ZH;3,5;22;subscription;;;;;;;;;;;;;;
asv.pyk4c;2021-11-14;2021-11-24;RENT;435187;private;APPT;600;112;TI;3,5;31;basic;;;;;;;;;;;;;;
ath.qq1t4;2022-09-07;2022-09-11;RENT;486267;private;APPT;3770;127;ZH;4,5;33;premium;;;;;;;;;;;;;;
au5.qqxry;2023-01-26;2023-01-26;RENT;13042;professional;INDUS;;40;BS;2;29;subscription;;;;;;;;;;;;;;
au8.0s3ah;2022-08-13;2022-08-13;RENT;516;professional;APPT;900;45;ZH;1,5;13;subscription;;;;;;;;;;;;;;
au8.bz97m;2022-11-05;2022-11-05;RENT;600;professional;APPT;1000;122;ZH;4,5;18;subscription;;;;;;;;;;;;;;
aut.dqumt;2022-11-01;2022-12-22;BUY;285778;private;APPT;875000;242;AG;7,5;33;premium;;;;;;;;;;;;;;
av4.w6boi;2021-07-20;2021-08-08;RENT;331414;private;APPT;3235;130;ZH;4,5;33;premium;;;;;;;;;;;;;;
avd.xnd84;2022-07-12;2022-07-26;RENT;391545;professional;APPT;2040;124;TG;4,5;18;subscription;;;;;;;;;;;;;;
avk.x76h7;2022-11-08;2022-11-08;RENT;415029;professional;APPT;1800;84;FR;3,5;8;subscription;;;;;;;;;;;;;;
aw6.h9iew;2022-08-13;2022-08-13;RENT;516;professional;APPT;1200;98;ZH;3,5;13;subscription;;;;;;;;;;;;;;
awb.9qtkf;2022-06-09;2022-06-27;RENT;447319;professional;APPT;790;;BE;1,5;4;subscription;;;;;;;;;;;;;;
awp.daxcy;2021-11-09;2021-12-02;RENT;330595;private;HOUSE;4900;235;TG;6,5;32;middle;;;;;;;;;;;;;;
ax2.9dp17;2022-10-21;2022-12-20;BUY;483334;professional;APPT;165000;28;VS;1,5;17;subscription;;;;;;;;;;;;;;
ax2.gx0yk;2021-05-24;2021-06-06;BUY;330958;private;APPT;2100000;204;BL;5,5;33;premium;;;;;;;;;;;;;;
ax4.gu1b7;2021-05-04;2021-05-17;BUY;448646;professional;HOUSE;1400000;546;LU;;9;subscription;;;;;;;;;;;;;;
axa.qfuau;2022-08-19;2022-08-22;RENT;727;professional;APPT;1500;47;ZH;1,5;22;subscription;;;;;;;;;;;;;;
axn.9z7j5;2022-10-31;2022-11-17;RENT;56928;professional;APPT;1648;93;TI;3,5;11;subscription;;;;;;;;;;;;;;
ayc.nbonw;2022-08-27;2022-08-29;RENT;439242;professional;APPT;800;119;VD;4,5;22;subscription;;;;;;;;;;;;;;
ays.ksaeo;2021-10-19;2021-12-14;BUY;296886;professional;HOUSE;1900000;240;ZH;6,5;28;subscription;;;;;;;;;;;;;;
azm.z12gy;2022-09-07;2022-09-07;BUY;594;professional;INDUS;2100000;2074;TG;7,5;16;subscription;;;;;;;;;;;;;;
azx.icrde;2021-12-30;2022-01-18;RENT;387716;private;INDUS;450;25;SG;1;32;middle;;;;;;;;;;;;;;
b0u.cofj5;2022-08-13;2022-08-13;RENT;516;professional;APPT;650;66;VD;2,5;13;subscription;;;;;;;;;;;;;;
b1r.otjtj;2022-10-21;2022-11-21;BUY;83612;professional;APPT;1950000;251;SO;5,5;21;subscription;;;;;;;;;;;;;;
b1u.vgwww;2022-10-26;2022-11-11;RENT;594;professional;APPT;1670;96;TG;3,5;16;subscription;;;;;;;;;;;;;;
b1w.syaf3;2022-08-23;2023-01-26;RENT;488687;professional;APPT;1470;85;LU;3,5;23;subscription;;;;;;;;;;;;;;
b24.3osre;2022-10-10;2022-10-27;BUY;447930;professional;HOUSE;940000;161;SG;6;7;subscription;;;;;;;;;;;;;;
b26.d34aq;2022-01-03;2022-03-03;RENT;285051;private;HOUSE;3650;145;BL;6;33;premium;;;;;;;;;;;;;;
b28.1e1mf;2022-11-03;2022-11-19;RENT;82311;professional;APPT;;122;TG;4,5;20;subscription;;;;;;;;;;;;;;
b2a.38tt3;2022-10-20;2022-10-20;BUY;483334;professional;APPT;405000;88;VS;2,5;17;subscription;;;;;;;;;;;;;;
b2l.1fzlu;2022-06-13;2022-06-17;RENT;240062;private;APPT;2300;120;TG;4,5;31;basic;;;;;;;;;;;;;;
b2x.eil49;2022-11-05;2022-11-05;RENT;600;professional;APPT;750;67;AG;2,5;18;subscription;;;;;;;;;;;;;;
b3j.qqj2v;2022-09-08;2022-09-15;BUY;447930;professional;HOUSE;560000;150;TI;5;7;subscription;;;;;;;;;;;;;;
b4j.1krwz;2022-01-31;2022-02-07;RENT;447636;professional;APPT;3350;;ZG;4,5;6;subscription;;;;;;;;;;;;;;
b4n.31who;2022-07-04;2022-07-04;RENT;447319;professional;APPT;1175;59;SG;2,5;4;subscription;;;;;;;;;;;;;;
b56.05qie;2022-05-20;2022-07-15;RENT;297696;private;APPT;1670;84;SO;3,5;32;middle;;;;;;;;;;;;;;
b5a.mrkji;2022-04-05;2022-09-23;BUY;290536;professional;APPT;;65;GR;2,5;25;subscription;;;;;;;;;;;;;;
b5r.y0jhs;2021-11-19;2022-02-09;RENT;308912;private;APPT;3166;170;ZH;5,5;33;premium;;;;;;;;;;;;;;
b6p.b51mc;2022-11-05;2022-11-05;RENT;600;professional;APPT;1700;100;ZH;3,5;18;subscription;;;;;;;;;;;;;;
b79.3ai6f;2022-10-22;2022-10-22;RENT;13028;professional;APPT;1050;;TI;3;26;subscription;;;;;;;;;;;;;;
b7g.oxixg;2023-01-28;2023-01-28;RENT;399101;professional;APPT;1000;95;ZH;3,5;3;subscription;;;;;;;;;;;;;;
b7z.3l8oe;2021-05-07;2021-05-18;RENT;448976;private;APPT;1690;60;ZH;3;33;premium;;;;;;;;;;;;;;
b8c.27jtw;2022-11-16;2022-11-16;RENT;387908;private;APPT;1410;55;SG;2,5;32;middle;;;;;;;;;;;;;;
b9b.7igwl;2022-12-30;2022-12-30;RENT;393320;private;INDUS;1575;116;ZH;1;33;premium;;;;;;;;;;;;;;
