PROPERTY_ID;FIRST_DAY_ONLINE;LAST_DAY_ONLINE;OFFER_TYPE;CUSTOMER_ID;CUSTOMER_SEGMENT;CATEGORY;PRICE_GROSS;SIZE_M2;GEO_CANTON;NUMBER_OF_ROOMS;PACKAGE_ID;PACKAGE_PRODUCT;;;;;;;;;;;;;;
0gf.q50ga;2022-07-07;2022-07-18;RENT;116412;professional;APPT;2085;104;ZH;5,5;29;subscription;;;;;;;;;;;;;;
0gw.sxxbu;2022-11-18;2022-11-29;BUY;79920;professional;HOUSE;;;ZH;;18;subscription;;;;;;;;;;;;;;
0h1.2clal;2022-04-22;2022-06-14;RENT;358;professional;PARK;170;;ZH;;7;subscription;;;;;;;;;;;;;;
0hh.rk5z1;2022-08-13;2022-08-13;RENT;516;professional;APPT;750;98;BE;3,5;13;subscription;;;;;;;;;;;;;;
0ia.u0x3m;2022-05-25;2022-05-30;RENT;613;professional;APPT;2090;109;SO;4,5;19;subscription;;;;;;;;;;;;;;
0is.59vls;2022-10-10;2022-10-27;BUY;447930;professional;APPT;1050000;100;SG;4,5;7;subscription;;;;;;;;;;;;;;
0je.j72g6;2022-10-13;2022-11-09;RENT;358;professional;PARK;50;;ZH;;7;subscription;;;;;;;;;;;;;;
0jo.zfkuj;2022-11-29;2022-12-14;RENT;399101;professional;APPT;1480;48;BL;2,5;3;subscription;;;;;;;;;;;;;;
0lx.qtzkm;2022-03-24;2022-05-09;RENT;104517;professional;APPT;4600;148;TI;3,5;22;subscription;;;;;;;;;;;;;;
0m0.fps4b;2022-11-21;2022-11-21;RENT;447406;professional;INDUS;10400;1040;SO;;5;subscription;;;;;;;;;;;;;;
0mf.4jwv0;2022-08-13;2022-08-13;RENT;516;professional;APPT;800;115;SG;4,5;13;subscription;;;;;;;;;;;;;;
0nx.2bkr4;2022-11-24;2022-11-29;BUY;447930;professional;HOUSE;560000;150;TI;5;7;subscription;;;;;;;;;;;;;;
0o5.xldtw;2021-09-20;2021-09-24;RENT;330188;private;APPT;700;52;ZH;1,5;31;basic;;;;;;;;;;;;;;
0ob.ukzm4;2022-11-17;2022-11-17;BUY;79920;professional;HOUSE;;;ZH;;18;subscription;;;;;;;;;;;;;;
0p1.mb35h;2022-09-20;2022-10-21;RENT;358;professional;APPT;2250;60;ZH;2,5;7;subscription;;;;;;;;;;;;;;
0p9.4tgv0;2022-06-29;2022-07-12;RENT;444199;private;APPT;1890;116;ZH;5,5;32;middle;;;;;;;;;;;;;;
0pl.813jq;2022-10-12;2022-10-12;RENT;487908;professional;APPT;1705;102;AG;4,5;20;subscription;;;;;;;;;;;;;;
0pn.y7gxl;2022-12-21;2022-12-21;RENT;295699;professional;APPT;1590;60;ZH;2;27;subscription;;;;;;;;;;;;;;
0rp.0wkg9;2022-04-21;2022-06-21;RENT;54907;professional;APPT;1540;72;LU;3;9;subscription;;;;;;;;;;;;;;
0si.668lx;2022-04-11;2022-04-11;RENT;397406;professional;INDUS;;540;ZG;;28;subscription;;;;;;;;;;;;;;
0tf.uqjnk;2021-05-02;2021-06-05;RENT;436977;private;APPT;2950;120;FR;4,5;32;middle;;;;;;;;;;;;;;
0tu.mzacv;2022-09-07;2022-10-25;RENT;285605;private;INDUS;2975;140;AG;7;33;premium;;;;;;;;;;;;;;
